Model,Accuracy,ROC-AUC,Fail Recall
LR,0.6329113924050633,0.5849056603773585,0.34615384615384615
RF,0.7215189873417721,0.6226415094339623,0.34615384615384615
XGB,0.6708860759493671,0.5587808417997098,0.38461538461538464
Tuned RF,0.7215189873417721,0.5928882438316401,0.34615384615384615
